project_id,project_name,project_owner,team,planned_start,planned_end,total_budget,actual_spend,budget_variance_pct,schedule_variance_days,risk_score,rag_status,status
PRJ001,ERP Enhancement 1,James T,Team Epsilon,2024-02-10,2024-04-24,63112,69089.0,9.5,2,1.9,AMBER,On Hold
PRJ002,ERP Enhancement 2,Tom B,Team Beta,2024-01-03,2024-03-06,99123,91406.0,-7.8,11,3.2,AMBER,On Hold
PRJ003,API Development 3,Emma R,Team Beta,2024-02-07,2024-05-12,474374,539301.0,13.7,19,4.9,RED,In Progress
PRJ004,Cloud Migration 4,Sarah K,Team Delta,2024-02-18,2024-05-31,103587,91219.0,-11.9,-2,1.5,GREEN,Complete
PRJ005,API Development 5,Kate S,Team Beta,2024-01-08,2024-07-04,248461,217653.0,-12.4,4,4.5,GREEN,In Progress
PRJ006,Analytics Dashboard 6,Emma R,Team Delta,2024-01-03,2024-05-26,169484,187299.0,10.5,-3,6.2,RED,In Progress
PRJ007,Platform Upgrade 7,Kate S,Team Beta,2024-01-11,2024-04-27,236264,217159.0,-8.1,3,4.3,GREEN,Complete
PRJ008,ERP Enhancement 8,David L,Team Gamma,2024-02-16,2024-05-17,135669,136014.0,0.3,3,5.4,AMBER,In Progress
PRJ009,Digital Transformation 9,Anandi M,Team Beta,2024-01-15,2024-06-28,66829,74559.0,11.6,7,0.8,RED,On Hold
PRJ010,ERP Enhancement 10,Emma R,Team Epsilon,2024-01-26,2024-07-17,387039,387589.0,0.1,3,1.5,GREEN,On Hold
PRJ011,Data Migration 11,James T,Team Beta,2024-02-27,2024-07-10,259400,251478.0,-3.1,-1,0.9,GREEN,In Progress
PRJ012,ERP Enhancement 12,Emma R,Team Epsilon,2024-02-20,2024-07-16,271333,284035.0,4.7,7,3.7,GREEN,In Progress
PRJ013,API Development 13,James T,Team Gamma,2024-02-13,2024-07-14,110058,118308.0,7.5,12,5.0,AMBER,On Hold
PRJ014,CRM Integration 14,Raj P,Team Alpha,2024-01-11,2024-05-08,51701,60219.0,16.5,23,6.0,RED,In Progress
PRJ015,ERP Enhancement 15,Sarah K,Team Epsilon,2024-02-23,2024-07-13,316161,332273.0,5.1,-1,0.9,AMBER,In Progress
PRJ016,Reporting Automation 16,Sarah K,Team Beta,2024-02-01,2024-04-03,108650,125665.0,15.7,23,6.7,RED,Complete
PRJ017,CRM Integration 17,Priya M,Team Delta,2024-03-01,2024-05-10,94907,103594.0,9.2,21,1.1,RED,Complete
PRJ018,Reporting Automation 18,Emma R,Team Delta,2024-01-11,2024-04-13,326653,371699.0,13.8,8,7.3,RED,In Progress
PRJ019,Digital Transformation 19,Raj P,Team Beta,2024-01-29,2024-07-22,321358,321034.0,-0.1,2,1.0,GREEN,Complete
PRJ020,API Development 20,James T,Team Epsilon,2024-01-15,2024-03-15,87220,94511.0,8.4,-4,2.3,AMBER,In Progress
