milestone_id,project_id,milestone_name,planned_date,actual_date,status,days_variance
MS0001,PRJ001,Kick-off Complete,2024-02-28,2024-02-29,Complete,1
MS0002,PRJ001,Design Sign-off,2024-03-17,2024-03-24,Complete,7
MS0003,PRJ001,Development Complete,2024-04-04,2024-04-08,Complete,4
MS0004,PRJ001,UAT Complete,2024-04-22,2024-04-22,Complete,0
MS0005,PRJ002,Kick-off Complete,2024-01-18,2024-02-01,Complete,14
MS0006,PRJ002,Design Sign-off,2024-02-02,2024-02-03,Complete,1
MS0007,PRJ002,Development Complete,2024-02-17,2024-03-03,Complete,15
MS0008,PRJ002,UAT Complete,2024-03-03,2024-03-18,Complete,15
MS0009,PRJ003,Kick-off Complete,2024-03-01,2024-03-13,Complete,12
MS0010,PRJ003,Design Sign-off,2024-03-24,2024-03-28,Complete,4
MS0011,PRJ003,Development Complete,2024-04-16,2024-05-08,Complete,22
MS0012,PRJ003,UAT Complete,2024-05-09,2024-05-21,Complete,12
MS0013,PRJ004,Kick-off Complete,2024-03-14,2024-03-17,Complete,3
MS0014,PRJ004,Design Sign-off,2024-04-08,2024-04-08,Complete,0
MS0015,PRJ004,Development Complete,2024-05-03,2024-05-01,Complete,-2
MS0016,PRJ004,UAT Complete,2024-05-28,2024-05-25,Complete,-3
MS0017,PRJ005,Kick-off Complete,2024-02-21,2024-02-19,Complete,-2
MS0018,PRJ005,Design Sign-off,2024-04-05,2024-04-12,Complete,7
MS0019,PRJ005,Development Complete,2024-05-19,2024-05-22,Complete,3
MS0020,PRJ005,UAT Complete,2024-07-02,2024-07-04,Complete,2
MS0021,PRJ006,Kick-off Complete,2024-02-08,2024-02-08,Complete,0
MS0022,PRJ006,Design Sign-off,2024-03-15,2024-03-15,Complete,0
MS0023,PRJ006,Development Complete,2024-04-20,2024-04-20,Complete,0
MS0024,PRJ006,UAT Complete,2024-05-26,2024-05-28,Complete,2
MS0025,PRJ007,Kick-off Complete,2024-02-06,2024-02-03,Complete,-3
MS0026,PRJ007,Design Sign-off,2024-03-03,2024-03-10,Complete,7
MS0027,PRJ007,Development Complete,2024-03-29,2024-04-05,Complete,7
MS0028,PRJ007,UAT Complete,2024-04-24,2024-05-01,Complete,7
MS0029,PRJ008,Kick-off Complete,2024-03-09,2024-03-07,Complete,-2
MS0030,PRJ008,Design Sign-off,2024-03-31,2024-03-28,Complete,-3
MS0031,PRJ008,Development Complete,2024-04-22,2024-04-25,Complete,3
MS0032,PRJ008,UAT Complete,2024-05-14,2024-05-22,Complete,8
MS0033,PRJ009,Kick-off Complete,2024-02-25,2024-03-03,Complete,7
MS0034,PRJ009,Design Sign-off,2024-04-06,2024-04-06,Complete,0
MS0035,PRJ009,Development Complete,2024-05-17,2024-05-21,Complete,4
MS0036,PRJ009,UAT Complete,2024-06-27,2024-06-30,Complete,3
MS0037,PRJ010,Kick-off Complete,2024-03-09,2024-03-09,Complete,0
MS0038,PRJ010,Design Sign-off,2024-04-21,2024-04-26,Complete,5
MS0039,PRJ010,Development Complete,2024-06-03,2024-06-07,Complete,4
MS0040,PRJ010,UAT Complete,2024-07-16,2024-07-15,Complete,-1
MS0041,PRJ011,Kick-off Complete,2024-03-31,2024-04-03,Complete,3
MS0042,PRJ011,Design Sign-off,2024-05-03,2024-05-02,Complete,-1
MS0043,PRJ011,Development Complete,2024-06-05,2024-06-06,Complete,1
MS0044,PRJ011,UAT Complete,2024-07-08,2024-07-12,Complete,4
MS0045,PRJ012,Kick-off Complete,2024-03-27,2024-03-31,Complete,4
MS0046,PRJ012,Design Sign-off,2024-05-02,2024-05-01,Complete,-1
MS0047,PRJ012,Development Complete,2024-06-07,2024-06-18,Complete,11
MS0048,PRJ012,UAT Complete,2024-07-13,2024-07-13,Complete,0
MS0049,PRJ013,Kick-off Complete,2024-03-22,2024-03-20,Complete,-2
MS0050,PRJ013,Design Sign-off,2024-04-29,2024-05-16,Complete,17
MS0051,PRJ013,Development Complete,2024-06-06,2024-06-20,Complete,14
MS0052,PRJ013,UAT Complete,2024-07-14,2024-07-11,Complete,-3
MS0053,PRJ014,Kick-off Complete,2024-02-09,2024-02-11,Complete,2
MS0054,PRJ014,Design Sign-off,2024-03-09,2024-03-21,Complete,12
MS0055,PRJ014,Development Complete,2024-04-07,2024-04-14,Complete,7
MS0056,PRJ014,UAT Complete,2024-05-06,2024-05-29,Complete,23
MS0057,PRJ015,Kick-off Complete,2024-03-29,2024-04-02,Complete,4
MS0058,PRJ015,Design Sign-off,2024-05-03,2024-05-07,Complete,4
MS0059,PRJ015,Development Complete,2024-06-07,2024-06-07,Complete,0
MS0060,PRJ015,UAT Complete,2024-07-12,2024-07-15,Complete,3
MS0061,PRJ016,Kick-off Complete,2024-02-16,2024-02-16,Complete,0
MS0062,PRJ016,Design Sign-off,2024-03-02,2024-03-09,Complete,7
MS0063,PRJ016,Development Complete,2024-03-17,2024-04-07,Complete,21
MS0064,PRJ016,UAT Complete,2024-04-01,2024-03-29,Complete,-3
MS0065,PRJ017,Kick-off Complete,2024-03-18,2024-03-27,Complete,9
MS0066,PRJ017,Design Sign-off,2024-04-04,2024-04-09,Complete,5
MS0067,PRJ017,Development Complete,2024-04-21,2024-05-17,Complete,26
MS0068,PRJ017,UAT Complete,2024-05-08,2024-05-30,Complete,22
MS0069,PRJ018,Kick-off Complete,2024-02-03,2024-02-14,Complete,11
MS0070,PRJ018,Design Sign-off,2024-02-26,2024-03-03,Complete,6
MS0071,PRJ018,Development Complete,2024-03-20,2024-03-30,Complete,10
MS0072,PRJ018,UAT Complete,2024-04-12,2024-04-24,Complete,12
MS0073,PRJ019,Kick-off Complete,2024-03-12,2024-03-11,Complete,-1
MS0074,PRJ019,Design Sign-off,2024-04-24,2024-04-24,Complete,0
MS0075,PRJ019,Development Complete,2024-06-06,2024-06-07,Complete,1
MS0076,PRJ019,UAT Complete,2024-07-19,2024-07-19,Complete,0
MS0077,PRJ020,Kick-off Complete,2024-01-30,2024-01-27,Complete,-3
MS0078,PRJ020,Design Sign-off,2024-02-14,2024-02-15,Complete,1
MS0079,PRJ020,Development Complete,2024-02-29,2024-03-01,Complete,1
MS0080,PRJ020,UAT Complete,2024-03-15,2024-03-12,Complete,-3
